id,option_A_model,option_B_model,gold_reference
7d029e36-d8e2-5215-ad72-0828fdbbb776,1b,1a,Open account menu
1b27c53f-f552-5497-940e-ab449753d479,1b,1a,Username is too long
056f082e-2cbe-534b-901f-6bbb773100c4,1a,1b,We need to verify your identity before you can continue.
5837bfc4-9ce1-57c5-8b8f-49ec2b43f516,1b,1a,Submit application
b26a13b2-9ecf-5112-ad53-7e12b75b49bd,1b,1a,Users only need the missing state and next step here.
f6002fc8-d964-5bf0-9e1f-132bbed6d1ce,1a,1b,Post reply
a3781b1f-65f8-539f-835f-e5c34549ced8,1a,1b,This report is too large. Narrow the date range and try again.
92f1f5b6-2aa8-56ef-af47-0dbff03cabb0,1a,1b,Enter an age between 13 and 120
9ea06583-2eb2-5afb-bb6e-7f06fb61a5e0,1b,1a,Start from a template or a blank note.
b138a4fa-e2bf-5e77-8e58-baa1369f0ce4,1b,1a,Maximum team members
aae126d7-bb4c-5402-9dcb-906a027b296e,1b,1a,API key name
66886999-4932-5715-8a1d-131b751dc894,1a,1b,We couldn't verify your identity. Check your details and try again.
a08259bc-5bd5-5368-ab22-34045790b5e0,1b,1a,Open order actions
b40a5b73-2d9c-5ff3-bc41-cd3f9dcd8cca,1b,1a,Search
d81846ca-a079-5d59-8221-579d4223b568,1b,1a,Enter a link starting with https://
2b643634-8573-52e3-96c0-c92376422244,1b,1a,Delete photo? You can't undo this.
8d98bde5-a315-51a8-a2eb-49cd19128ff9,1a,1b,Users missed Skip for now. Increase its visibility or reduce nearby copy.
5648bc61-ad0d-5711-8fd9-5264b765ca6c,1a,1b,Pick one or two goals
b8678501-7aaf-5c9c-b01a-5dc96faec677,1a,1b,Plan a weekend trip
f46cb711-8148-506e-acf5-3b00265ce23b,1b,1a,Fulfill order
cbc5df0c-b008-5ecd-8085-e8b5f2927847,1a,1b,Delete project? Team members will lose access immediately.
1f1e3d8d-1316-5b3d-82d3-516325f210c3,1a,1b,Preview of uploaded profile photo
200c2f7e-1308-50e7-aec6-df0a03f0d4ac,1b,1a,This item just sold out. Remove it to keep checking out.
479c2fe9-02df-54dd-9fb6-06671980971e,1b,1a,Payment processed
dd4591fb-6895-5354-8f49-1163556ed432,1b,1a,Create an API key to connect your app.
73ba8c90-0103-5542-93ef-a8f7bc5f6403,1a,1b,Place order
