id,category,product_surface,current_copy,option_A,option_B,preferred (A/B/tie),why (optional)
7d029e36-d8e2-5215-ad72-0828fdbbb776,accessibility_label,avatar menu,Menu,Account menu,Open account menu,,
1b27c53f-f552-5497-940e-ab449753d479,inline_error,username field,Invalid username.,Username must be 20 characters or fewer,Use 20 characters or fewer,,
056f082e-2cbe-534b-901f-6bbb773100c4,system_error,regulated finance app,Can't continue.,We couldn't verify your identity. Upload a clear photo of your government ID to continue.,We couldn't verify your identity. Try again or contact support.,,
5837bfc4-9ce1-57c5-8b8f-49ec2b43f516,button,benefits application,Proceed with submission,Submit application,Submit application,,
b26a13b2-9ecf-5112-ad53-7e12b75b49bd,empty_state,heuristic review,Too much text.,No messages yet. Start a conversation to see messages here.,Use only the explanation users need to act.,,
f6002fc8-d964-5bf0-9e1f-132bbed6d1ce,button,comment box,Post,Comment,Reply,,
a3781b1f-65f8-539f-835f-e5c34549ced8,system_error,report builder,Resource limit exceeded.,This report is too large to build right now. Try fewer filters or a smaller date range.,This report is too large to build. Try fewer filters or a shorter date range.,,
92f1f5b6-2aa8-56ef-af47-0dbff03cabb0,inline_error,age field,Wrong,Enter your age in years,Enter an age between 13 and 120.,,
9ea06583-2eb2-5afb-bb6e-7f06fb61a5e0,onboarding,note app,Explore.,Browse templates to get started.,Browse templates to get started,,
b138a4fa-e2bf-5e77-8e58-baa1369f0ce4,form_label,team settings,Max,Maximum seats,Maximum seats,,
aae126d7-bb4c-5402-9dcb-906a027b296e,form_label,developer console,Thing name,API key name,Key name,,
66886999-4932-5715-8a1d-131b751dc894,system_error,government account,Verification exception.,We couldn't verify your identity. Upload a clear photo of your ID and try again.,We couldn't verify your identity. Upload a clear photo of your ID and try again.,,
a08259bc-5bd5-5368-ab22-34045790b5e0,accessibility_label,table row action,Click the dots,Open row actions,Open row actions,,
b40a5b73-2d9c-5ff3-bc41-cd3f9dcd8cca,accessibility_label,icon-only search control,Go,Search,Search,,
d81846ca-a079-5d59-8221-579d4223b568,inline_error,url field,Bad URL,"Enter a full URL, like https://example.com","Enter a valid URL, like https://example.com",,
2b643634-8573-52e3-96c0-c92376422244,destructive_confirmation,photo library,Ready to clean up?,Delete 12 memories? This can't be undone.,Delete 18 memories? They'll go to the trash for 30 days.,,
8d98bde5-a315-51a8-a2eb-49cd19128ff9,notification,quick exposure test,Users missed it.,Test showed users missed the skip option.,Test showed users missed the skip option.,,
5648bc61-ad0d-5711-8fd9-5264b765ca6c,form_label,map goal picker,Goals,Choose goals,What are you mapping for?,,
b8678501-7aaf-5c9c-b01a-5dc96faec677,notification,travel app,Grab a weekend escape.,Book a short trip this weekend,Weekend getaways from $129,,
f46cb711-8148-506e-acf5-3b00265ce23b,button,order admin,Do it,Mark as fulfilled,Fulfill order,,
cbc5df0c-b008-5ecd-8085-e8b5f2927847,destructive_confirmation,project settings,Remove?,Remove this project? All files and shared access will be lost.,Remove project? Its files and activity will be deleted.,,
1f1e3d8d-1316-5b3d-82d3-516325f210c3,accessibility_label,image upload preview,Image,"Team photo at the office, everyone smiling.",Image of a person holding a blue coffee mug,,
200c2f7e-1308-50e7-aec6-df0a03f0d4ac,system_error,checkout,Out of stock error.,This item is now out of stock. Choose another size or we'll email you when it's back.,This item is now out of stock. Choose another quantity or we'll email you when it's back.,,
479c2fe9-02df-54dd-9fb6-06671980971e,notification,billing,It worked,Payment received — your invoice is settled.,Payment received for invoice {{ invoice_number }},,
dd4591fb-6895-5354-8f49-1163556ed432,onboarding,developer API dashboard,Make your access thing.,Create your API key,Create your API key,,
73ba8c90-0103-5542-93ef-a8f7bc5f6403,button,checkout action,Let's seal the deal,Place order,Place order,,
e6f12ec5-4afd-5f6d-8f6f-b5dbb4afe45e,onboarding,project setup,Configure additional metadata.,Add details about your project,Add project details,,
181fdd5e-fad0-513e-bd4f-101465c8e62f,notification,storage,Almost full.,You're close to your storage limit. Add more space or remove files you no longer need.,You're using 92% of your storage. Add more space to keep uploading.,,
591b5bf2-55ae-57b6-9d3e-52bcb0ab0d9e,form_label,survey,Score,How likely are you to recommend us?,How likely are you to recommend us?,,
28152527-45ae-5422-81d6-b1f1a1838d66,empty_state,flow branch,Nothing here.,No products to import,No products to import. Continue to the next step.,,
b4566a23-3cc0-5f3b-b1d8-0bb70ec71b77,inline_error,password field,Bad password,Use at least 12 characters with a mix of letters and numbers,Use at least 8 characters with a mix of letters and numbers.,,
868b76f2-dbc0-5526-b052-8b868cda7672,onboarding,dev platform,Initialize.,Create your first project,Create your first project,,
54289596-c5e1-542c-8e09-6f667967af37,system_error,sync status,Could not complete operation.,Sync failed. Check your connection and try again.,Sync failed. Check your connection and try again.,,
10b80790-bb8a-5123-a7f6-baf2ebd5ad1f,system_error,permissions flow,Access error.,You don't have access to this page. Ask an admin to grant it.,We can't access your camera. Allow it in Settings to continue.,,
41bcb356-3dfa-5e36-83bf-651442d904cf,system_error,consent flow,Consent required.,Please accept the terms to continue.,You need to accept the terms to continue.,,
06369d52-7263-5002-b138-9060bd742e12,button,file uploader,Choose,Choose file,Choose document,,
fe60c2d3-5a73-5692-a092-7aa7d4efa601,empty_state,task list,You have no stuff.,No tasks yet. Add one to get started.,No tasks yet — add your first task to get started.,,
bbcac642-882a-57ed-abb5-61b906ba129a,inline_error,username field,Invalid characters,"Use only letters, numbers, periods, and underscores.","Use only letters, numbers, periods, and underscores.",,
e76ea160-fd61-5a73-a1a5-9b774ef9a793,notification,shipping,Shipped.,Your order has shipped. Track it in the app.,Your order is on its way. Track it to see the estimated delivery date.,,
268cf8df-6d49-5e83-8500-2219c514a322,system_error,settings save,An error occurred while processing your request.,We couldn't save your changes. Check your connection and try again.,We couldn't save your changes. Check your connection and try again.,,
29832314-2c74-531d-b578-847d495a72f1,form_label,email field,name@example.com,Email address,Email address,,
92df3263-d0e0-5b56-8557-69c05353aa78,system_error,settings page,The requested operation could not be completed.,We couldn't save your changes. Check your connection and try again.,We couldn't save your changes. Try again.,,
b57db7a7-4a80-5a0e-bf00-6dda2dda713b,onboarding,fitness app,Configure objectives.,What's your fitness goal?,Choose your goal,,
97ba8a78-4f0a-5ca2-aa42-817de18b142a,empty_state,messages inbox,Nothing to see here.,"No messages yet. When someone messages you, it'll show up here.","No messages yet. When someone messages you, conversations appear here.",,
a0b9532b-48c4-5557-bcce-9cc4ac2d274d,empty_state,transactions list,Nothing.,No transactions yet — they'll show up here once you start.,"No transactions yet. When you make a purchase, it will show up here.",,
9eec4d2a-166a-5cde-b4c3-dcb9100adfb6,form_label,shipping form,ZIP code,Postal code,Postal code,,
97ce225c-c8d8-55ed-b65a-a70d21cc9f49,accessibility_label,download icon,Download,Download report,Download report,,
